frame_idx,red_pixel_count,flagged
0,12,False
1,18,False
2,17,False
3,20,False
4,21,False
5,22,False
6,17,False
7,15,False
8,9,False
9,8,False
10,9,False
11,10,False
12,15,False
13,13,False
14,16,False
15,9,False
16,12,False
17,16,False
18,8,False
19,11,False
20,11,False
21,11,False
22,10,False
23,12,False
24,5,False
25,10,False
26,11,False
27,12,False
28,15,False
29,12,False
30,9,False
31,10,False
32,6,False
33,12,False
34,13,False
35,11,False
36,6,False
37,10,False
38,12,False
39,6,False
40,13,False
41,16,False
42,13,False
43,14,False
44,7,False
45,12,False
46,13,False
47,16,False
48,14,False
49,14,False
50,17,False
51,11,False
52,14,False
53,7,False
54,10,False
55,15,False
56,7,False
57,13,False
58,10,False
59,15,False
60,7,False
61,14,False
62,8,False
63,5,False
64,6,False
65,3,False
66,0,False
67,0,False
68,0,False
69,0,False
70,0,False
71,0,False
72,3,False
73,2,False
74,2,False
75,2,False
76,1,False
77,3,False
78,1,False
79,1,False
80,1,False
81,2,False
82,0,False
83,1,False
84,4,False
85,5,False
86,4,False
87,7,False
88,4,False
89,8,False
90,5,False
91,4,False
92,10,False
93,8,False
94,7,False
95,10,False
96,10,False
97,10,False
98,8,False
99,10,False
100,13,False
101,11,False
102,8,False
103,24,False
104,16,False
105,17,False
106,24,False
107,22,False
108,24,False
109,28,False
110,31,False
111,27,False
112,24,False
113,27,False
114,25,False
115,27,False
116,31,False
117,26,False
118,31,False
119,29,False
120,26,False
121,22,False
122,23,False
123,23,False
124,20,False
125,20,False
126,21,False
127,23,False
128,20,False
129,18,False
130,19,False
131,13,False
132,16,False
133,18,False
134,20,False
135,19,False
136,25,False
137,23,False
138,20,False
139,20,False
140,26,False
141,22,False
142,24,False
143,29,False
144,30,False
145,27,False
146,22,False
147,18,False
148,17,False
149,16,False
150,18,False
151,22,False
152,27,False
153,26,False
154,23,False
155,23,False
156,27,False
157,19,False
158,12,False
159,20,False
160,26,False
161,19,False
162,21,False
163,23,False
164,32,False
165,20,False
166,24,False
167,29,False
168,30,False
169,23,False
170,24,False
171,26,False
172,24,False
173,25,False
174,28,False
175,26,False
176,22,False
177,25,False
178,29,False
179,23,False
180,22,False
181,21,False
182,20,False
183,27,False
184,26,False
185,18,False
186,20,False
187,18,False
188,20,False
189,23,False
190,22,False
191,23,False
192,24,False
193,22,False
194,21,False
195,26,False
196,27,False
197,23,False
198,26,False
199,29,False
200,28,False
201,23,False
202,19,False
203,25,False
204,27,False
205,34,False
206,19,False
207,24,False
208,23,False
209,16,False
210,19,False
211,26,False
212,19,False
213,19,False
214,19,False
215,25,False
216,24,False
217,20,False
218,20,False
219,20,False
220,20,False
221,17,False
222,23,False
223,14,False
224,21,False
225,26,False
226,17,False
227,16,False
228,19,False
229,15,False
230,18,False
231,19,False
232,19,False
233,21,False
234,21,False
235,27,False
236,23,False
237,22,False
238,24,False
239,30,False
240,25,False
241,23,False
242,32,False
243,25,False
244,26,False
245,23,False
246,31,False
247,28,False
248,30,False
249,31,False
250,26,False
251,27,False
252,20,False
253,25,False
254,20,False
255,17,False
256,17,False
257,12,False
258,11,False
259,19,False
260,19,False
261,17,False
262,17,False
263,15,False
264,20,False
265,19,False
266,22,False
267,28,False
268,26,False
269,31,False
270,29,False
271,29,False
272,25,False
273,28,False
274,22,False
275,34,False
276,36,False
277,37,False
278,31,False
279,29,False
280,30,False
281,23,False
282,28,False
283,27,False
284,29,False
285,29,False
286,22,False
287,23,False
288,19,False
289,23,False
290,14,False
291,22,False
292,19,False
293,26,False
294,28,False
295,29,False
296,37,False
297,37,False
298,32,False
299,22,False
300,26,False
301,26,False
302,25,False
303,21,False
304,25,False
305,27,False
306,23,False
307,19,False
308,25,False
309,26,False
310,24,False
311,23,False
312,19,False
313,20,False
314,6,False
315,6,False
316,3,False
317,1,False
318,1,False
319,3,False
320,0,False
321,1,False
322,0,False
323,0,False
324,0,False
325,0,False
326,0,False
327,0,False
328,0,False
329,0,False
330,0,False
331,0,False
332,0,False
333,0,False
334,0,False
335,0,False
336,0,False
337,0,False
338,0,False
339,0,False
340,0,False
341,0,False
342,0,False
343,0,False
344,0,False
345,0,False
346,0,False
347,0,False
348,0,False
349,0,False
350,0,False
351,0,False
352,0,False
353,0,False
354,0,False
355,0,False
356,0,False
357,0,False
358,0,False
359,0,False
360,0,False
361,0,False
362,0,False
363,0,False
364,0,False
365,0,False
366,0,False
367,0,False
368,0,False
369,0,False
370,0,False
371,0,False
372,0,False
373,0,False
374,0,False
375,0,False
376,0,False
377,0,False
378,0,False
379,0,False
380,0,False
381,0,False
382,0,False
383,0,False
384,0,False
385,0,False
386,0,False
387,0,False
388,0,False
389,0,False
390,0,False
391,0,False
392,0,False
393,0,False
394,0,False
395,0,False
396,0,False
397,0,False
398,0,False
399,0,False
400,0,False
401,0,False
402,0,False
403,0,False
404,0,False
405,0,False
406,0,False
407,0,False
408,0,False
409,0,False
410,0,False
411,0,False
412,0,False
413,0,False
414,0,False
415,0,False
416,0,False
417,0,False
418,0,False
419,0,False
420,0,False
421,0,False
422,0,False
423,0,False
424,0,False
425,0,False
426,0,False
427,0,False
428,0,False
429,0,False
430,0,False
431,0,False
432,0,False
433,0,False
434,0,False
435,0,False
436,0,False
437,0,False
438,0,False
439,0,False
440,0,False
441,0,False
442,0,False
443,0,False
444,0,False
445,0,False
446,0,False
447,0,False
448,0,False
449,0,False
450,0,False
451,0,False
452,0,False
453,0,False
454,1,False
455,0,False
456,0,False
457,0,False
458,0,False
459,0,False
460,0,False
461,2,False
462,0,False
463,2,False
464,3,False
465,3,False
466,1,False
467,3,False
468,2,False
469,3,False
470,1,False
471,4,False
472,4,False
473,2,False
474,2,False
475,1,False
476,2,False
477,4,False
478,2,False
479,4,False
480,3,False
481,3,False
482,4,False
483,3,False
484,2,False
485,4,False
486,3,False
487,4,False
488,1,False
489,0,False
490,1,False
491,1,False
492,0,False
493,2,False
494,1,False
495,3,False
496,3,False
497,2,False
498,2,False
499,3,False
500,2,False
501,0,False
502,1,False
503,1,False
504,0,False
505,2,False
506,2,False
507,0,False
508,1,False
509,0,False
510,2,False
511,2,False
512,6,False
513,4,False
514,3,False
515,1,False
516,2,False
517,0,False
518,1,False
519,0,False
520,2,False
521,1,False
522,2,False
523,2,False
524,1,False
525,310,True
526,311,True
527,313,True
528,312,True
529,316,True
530,312,True
531,313,True
532,310,True
533,314,True
534,313,True
535,310,True
536,311,True
537,311,True
538,311,True
539,310,True
540,314,True
541,315,True
542,312,True
543,310,True
544,306,True
545,310,True
546,313,True
547,309,True
548,319,True
549,316,True
550,313,True
551,310,True
552,309,True
553,310,True
554,312,True
555,312,True
556,312,True
557,313,True
558,313,True
559,311,True
560,309,True
561,311,True
562,309,True
563,309,True
564,310,True
565,313,True
566,311,True
567,308,True
568,310,True
569,308,True
570,312,True
571,310,True
572,310,True
573,311,True
574,312,True
575,309,True
576,314,True
577,310,True
578,311,True
579,308,True
580,308,True
581,305,True
582,307,True
583,308,True
584,307,True
585,307,True
586,307,True
587,311,True
588,310,True
589,309,True
590,308,True
591,309,True
592,310,True
593,307,True
594,307,True
595,311,True
596,312,True
597,311,True
598,313,True
599,310,True
600,308,True
601,308,True
602,312,True
603,313,True
604,309,True
605,313,True
606,312,True
607,314,True
608,314,True
609,315,True
610,314,True
611,312,True
612,313,True
613,313,True
614,312,True
615,0,False
616,0,False
617,0,False
618,0,False
619,0,False
620,0,False
621,0,False
622,0,False
623,0,False
624,0,False
625,0,False
626,0,False
627,0,False
628,0,False
629,0,False
630,0,False
631,0,False
632,0,False
633,0,False
634,0,False
635,0,False
636,0,False
637,0,False
638,0,False
639,0,False
640,0,False
641,0,False
642,0,False
643,0,False
644,0,False
645,0,False
646,0,False
647,0,False
648,0,False
649,0,False
650,0,False
651,0,False
652,0,False
653,0,False
654,0,False
655,0,False
656,0,False
657,0,False
658,0,False
659,0,False
660,0,False
661,0,False
662,0,False
663,0,False
664,0,False
665,0,False
666,0,False
667,0,False
668,0,False
669,0,False
670,0,False
671,0,False
672,0,False
673,0,False
674,0,False
675,0,False
676,0,False
677,0,False
678,0,False
679,0,False
680,0,False
681,0,False
682,0,False
683,0,False
684,0,False
685,0,False
686,0,False
687,0,False
688,0,False
689,0,False
690,0,False
691,0,False
692,0,False
693,0,False
694,0,False
695,0,False
696,0,False
697,0,False
698,0,False
699,0,False
700,0,False
701,0,False
702,0,False
703,0,False
704,0,False
705,0,False
706,0,False
707,0,False
708,0,False
709,0,False
710,0,False
711,0,False
712,0,False
713,0,False
714,0,False
715,0,False
716,0,False
717,0,False
718,0,False
719,0,False
720,0,False
721,0,False
722,0,False
723,0,False
724,0,False
725,0,False
726,0,False
727,0,False
728,0,False
729,0,False
730,0,False
731,0,False
732,0,False
733,0,False
734,0,False
735,0,False
736,0,False
737,0,False
738,0,False
739,0,False
740,0,False
741,0,False
742,0,False
743,0,False
744,0,False
745,0,False
746,0,False
747,0,False
748,0,False
749,0,False
750,0,False
751,0,False
752,0,False
753,0,False
754,0,False
755,0,False
756,0,False
757,0,False
758,0,False
759,0,False
760,0,False
761,0,False
762,0,False
763,0,False
764,0,False
765,0,False
766,0,False
767,0,False
768,0,False
769,0,False
770,0,False
771,0,False
772,0,False
773,0,False
774,0,False
775,0,False
776,0,False
777,0,False
778,0,False
779,0,False
780,0,False
781,0,False
782,0,False
783,0,False
784,0,False
785,0,False
786,0,False
787,0,False
788,0,False
789,0,False
790,0,False
791,0,False
792,0,False
793,0,False
794,0,False
795,0,False
796,0,False
797,0,False
798,0,False
799,0,False
800,0,False
801,0,False
802,0,False
803,0,False
804,0,False
805,0,False
806,0,False
807,0,False
808,0,False
809,0,False
810,0,False
811,0,False
812,0,False
813,0,False
814,0,False
815,0,False
816,0,False
817,0,False
818,0,False
819,0,False
820,0,False
821,0,False
822,0,False
823,0,False
824,0,False
